"appendix_file","status_after_filter","reason","new_location_or_active_location","where_content_is_now_used"
"01-observasi-grabfood-nasi-gerilya-dan-kompetitor.tex","active","Data pra-survei masih dirujuk Bab I, Bab II, dan Bab III sebagai konteks awal.","appendices/01-observasi-grabfood-nasi-gerilya-dan-kompetitor.tex","Bab I memuat ringkasan menu, kompetitor awal, dan masalah awal; resource menyimpan koding detail pra-survei."
"02-wawancara-awal-pemilik-nasi-gerilya.tex","active","Wawancara awal pemilik masih menjadi sumber konteks karena wawancara pemilik terbaru belum tersedia.","appendices/02-wawancara-awal-pemilik-nasi-gerilya.tex","Bab I, Bab III, Bab IV, dan keterbatasan Bab V memakai data ini dengan batas klaim."
"03-dokumentasi-indeks-kinerja-nasi-gerilya-dan-kompetitor-grabfood.tex","active","Data kinerja dan indeks kompetitor penting untuk latar masalah serta konteks performa.","appendices/03-dokumentasi-indeks-kinerja-nasi-gerilya-dan-kompetitor-grabfood.tex","Bab I dan Bab IV memakai ringkasan tren kinerja; resource menyimpan workbook dan koding PS-KIN."
"04-cek-data-penelitian-utama.tex","archived","Checklist kerja tidak perlu menjadi lampiran skripsi karena isinya sudah digantikan oleh inventaris data, gap register, dan pembahasan Bab IV/V.","resource/06-analysis/appendix-reproducibility/filtered-out-source-tex/04-cek-data-penelitian-utama.tex","Status gap ada di resource/06-analysis/gap-closure dan Bab V keterbatasan."
"05-pedoman-wawancara-penelitian-utama.tex","archived","Pedoman panjang cukup disimpan sebagai instrumen di resource; Bab III sudah memuat kisi-kisi instrumen.","resource/06-analysis/appendix-reproducibility/filtered-out-source-tex/05-pedoman-wawancara-penelitian-utama.tex","Bab III memuat kisi-kisi; PDF/TEX instrumen ada di resource/05-fieldwork/00-instrumen-penelitian."
"06-lembar-observasi-grabfood-dan-kompetitor.tex","archived","Rekap observasi sudah masuk Bab IV dan bukti visual tersedia pada appendix aktif 11-12.","resource/06-analysis/appendix-reproducibility/filtered-out-source-tex/06-lembar-observasi-grabfood-dan-kompetitor.tex","Bab IV memuat ringkasan observasi dan perbandingan kompetitor."
"07-format-survei-pelanggan-pendukung.tex","archived","Format kosong tidak perlu menjadi lampiran; data hasil survei dan koding pelanggan sudah masuk Bab IV/resource.","resource/06-analysis/appendix-reproducibility/filtered-out-source-tex/07-format-survei-pelanggan-pendukung.tex","Bab IV memuat TS-PL; data mentah ada di resource/05-fieldwork/04-survei-pelanggan."
"08-template-rekap-data-dan-koding-tematik.tex","archived","Template kerja analisis tidak perlu menjadi lampiran karena hasil kodingnya sudah masuk Bab IV dan resource.","resource/06-analysis/appendix-reproducibility/filtered-out-source-tex/08-template-rekap-data-dan-koding-tematik.tex","Bab IV memuat koding tematik, faktor SWOT, IFAS/EFAS; resource menyimpan rekap koding."
"09-template-triangulasi-data.tex","archived","Template triangulasi sudah menjadi substansi Bab IV dan resource source-map, sehingga tidak perlu lampiran terpisah.","resource/06-analysis/appendix-reproducibility/filtered-out-source-tex/09-template-triangulasi-data.tex","Bab IV memuat tabel triangulasi utama; resource/06-analysis/triangulation menyimpan peta sumber."
"10-template-ifas-efas-swot.tex","archived","Template IFAS/EFAS/SWOT sudah berubah menjadi matriks final di Bab IV, jadi lampiran template redundant.","resource/06-analysis/appendix-reproducibility/filtered-out-source-tex/10-template-ifas-efas-swot.tex","Bab IV memuat matriks IFAS, EFAS, SWOT, dan prioritas strategi."
"11-evidence-observasi-grabfood-20260613.tex","active","Bukti visual utama Nasi Gerilya perlu dipertahankan sebagai audit trail Bab IV.","appendices/11-evidence-observasi-grabfood-20260613.tex","Bab IV merujuk temuan observasi TO-GF; appendix menyimpan bukti visual."
"12-evidence-observasi-grabfood-kompetitor-20260619.tex","active","Bukti visual kompetitor perlu dipertahankan sebagai audit trail Bab IV.","appendices/12-evidence-observasi-grabfood-kompetitor-20260619.tex","Bab IV merujuk temuan TO-KP dan perbandingan kompetitor."
"13-poster-rekrutmen-informan-pelanggan.tex","archived","Poster rekrutmen bukan bukti analisis utama; cukup disimpan di resource rekrutmen informan.","resource/06-analysis/appendix-reproducibility/filtered-out-source-tex/13-poster-rekrutmen-informan-pelanggan.tex","Resource/05-fieldwork/03-rekrutmen-informan menyimpan poster asli."
