"status","ref_key","judul","bab_skripsi","lokasi_skripsi","kata_kata_di_skripsi","kata_kata_asli_referensi","halaman_referensi","catatan"
"verified","putro2025digitaltransformation","The Influence of Digital Transformation On The Performance of Culinary SMEs in Bogor District Using The Technology Organization Environment (TOE) Model","Bab 1 Pendahuluan","chapters/01-pendahuluan.tex:4","digitalisasi berpengaruh positif terhadap performa usaha, terutama melalui media promosi digital dan sistem pembayaran digital","digitalization demonstrated a positive impact on SME performance","344 (PDF p.1)","verifikasi langsung dari abstrak PDF jurnal"
"verified","sophia2025rendanggadih","Analisis Strategi Pemasaran Rendang Gadih Melalui Platform Shopee untuk Meningkatkan Penjualan","Bab 1 Pendahuluan","chapters/01-pendahuluan.tex:4","strategi pemasaran berbasis platform digital ... meningkatkan penjualan melalui penguatan di poin STP dan 4P","The strategy analyzed refers to the concept STP ... and the 4P marketing mix","1446 (PDF p.1)","verifikasi langsung dari abstrak PDF jurnal"
"verified","elverda2025ofdindonesia","Analysis of Factors Affecting Consumer Decision-Making in Choosing Online Food Delivery in Indonesia","Bab 1 Pendahuluan","chapters/01-pendahuluan.tex:5","perceived price, perceived usefulness, ease of use, service quality, customer satisfaction, dan trust memengaruhi repurchase intention","perceived price, perceived usefulness, ease of use, service quality, customer satisfaction, and trust influence repurchase intention","118 (PDF p.1)","verifikasi langsung dari abstrak PDF jurnal"
"verified","putri2022grabfood","Pengaruh E-service Quality dan E-trust terhadap E-satisfaction pada Pengguna Grab-Food Dari Generasi Z","Bab 1 Pendahuluan","chapters/01-pendahuluan.tex:5","e-service quality dan e-trust berpengaruh positif signifikan terhadap e-satisfaction","e-service quality had a positive and significant effect on e-satisfaction","742 (PDF p.1)","verifikasi langsung dari abstrak PDF jurnal"
"verified","santoso2023esatisfaction","The Role of E-Satisfaction on Repurchase and E-WOM Intention on The Costumers of Food Products By Local Micro and Small Businesses on The Digital Platforms","Bab 1 Pendahuluan","chapters/01-pendahuluan.tex:5","food quality dan price fairness berpengaruh signifikan terhadap e-satisfaction, dan e-satisfaction berpengaruh terhadap repurchase intention","food quality and price fairness have a significant effect on e-satisfaction","118 (PDF p.1)","verifikasi langsung dari abstrak PDF jurnal"
"verified","nurwansyah2025miegacoan","Customer Experience, E-Service Quality, and Loyality in Online Food Delivery: The Case of Mie Gacoan","Bab 1 Pendahuluan","chapters/01-pendahuluan.tex:10","customer experience dan e-service quality berpengaruh signifikan terhadap customer satisfaction dan customer loyalty","customer experience and e-service quality significantly influence customer satisfaction, which in turn impacts customer loyalty","581 (PDF p.1)","verifikasi langsung dari abstrak PDF jurnal"
"verified","kotler2021marketingmanagement","Marketing Management","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:6","strategi pemasaran ... diawali dengan pemahaman terhadap kebutuhan pasar, pemilihan konsumen sasaran, serta penciptaan nilai","creating, delivering, and communicating superior customer value","PDF p.44","verifikasi langsung dari PDF buku"
"verified","kotler2023principlesmarketing","Principles of Marketing","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:9","perusahaan dapat memutuskan siapa yang dilayani, nilai apa yang ditawarkan, dan bagaimana persepsi ingin ditanamkan","What customers will we serve ... and How can we serve these customers best","PDF p.33","verifikasi langsung dari PDF buku"
"verified","chaffey2022digitalmarketing","Digital Marketing: Strategy, Implementation and Practice","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:15","di era digital, strategi pemasaran menjadi semakin penting karena konsumen dapat membandingkan banyak pilihan","it's essential that they use digital marketing to support their business and marketing strategies","book p.5 (mirror OCR)","PDF lokal berupa scan tanpa OCR; teks diambil dari mirror OCR yang merefleksikan buku yang sama"
"verified","wirtz2024servicesmarketing","Essentials of Services Marketing","Bab 2 Tinjauan Pustaka","chapters/02-tinjauan-pustaka.tex:43","konsep 4P sering diperluas menjadi 7P dengan menambahkan people, process, dan physical evidence","introduces the 7 Ps of services marketing","PDF p.7","verifikasi langsung dari PDF buku"
